"Date","Num_Employees","Num_Customers","Pct_On_Sale","TouristEvent","Sales"
2012-07-01,35,319,9.76,"No",74455
2012-07-02,22,285,8.47,"No",74705
2012-07-03,26,346,8.77,"No",66793
2012-07-04,30,341,9.88,"No",78958
2012-07-05,29,290,9.6,"No",67374
2012-07-06,45,328,11.79,"No",80129
2012-07-07,41,489,8.25,"No",79426
2012-07-08,39,322,10.84,"No",81983
2012-07-09,24,233,9.12,"No",81009
2012-07-10,19,233,6.84,"No",67071
2012-07-11,29,249,10.78,"No",86437
2012-07-12,46,270,8.87,"No",92355
2012-07-13,45,281,7.49,"No",80387
2012-07-14,40,364,9.59,"No",82752
2012-07-15,44,276,6.94,"No",77308
2012-07-16,19,236,9.42,"No",71923
2012-07-17,26,247,7.49,"No",57302
2012-07-18,18,258,6.23,"No",78192
2012-07-19,31,286,8.8,"No",77528
2012-07-20,42,285,8.31,"No",73533
2012-07-21,41,399,6.69,"No",76333
2012-07-22,43,290,6.01,"No",61181
2012-07-23,31,241,7.88,"No",74311
2012-07-24,34,240,6.68,"No",73508
2012-07-25,29,266,6.1,"No",76533
2012-07-26,32,272,10.71,"No",58962
2012-07-27,41,309,7.74,"No",81790
2012-07-28,51,390,9.68,"No",86450
2012-07-29,37,276,9.63,"No",69722
2012-07-30,19,233,5.83,"No",87795
2012-07-31,21,221,7.75,"No",75027
2012-08-01,22,281,7.78,"No",76894
2012-08-02,33,286,9.55,"No",70693
2012-08-03,39,297,11.34,"No",76223
2012-08-04,28,398,8.12,"No",81892
2012-08-05,44,312,9.51,"No",73603
2012-08-06,24,220,10.61,"No",67039
2012-08-07,18,219,8.54,"No",67392
2012-08-08,24,262,9.89,"No",68397
2012-08-09,36,241,8.53,"No",69336
2012-08-10,48,321,13.51,"No",91534
2012-08-11,31,368,11.31,"No",68738
2012-08-12,34,314,8.22,"No",62394
2012-08-13,25,229,10.04,"No",75697
2012-08-14,27,218,8.28,"No",66363
2012-08-15,30,228,8.8,"No",69877
2012-08-16,56,319,8.09,"No",86485
2012-08-17,43,302,9.06,"No",61505
2012-08-18,45,360,6.77,"No",76455
2012-08-19,39,275,9.29,"No",73931
2012-08-20,27,180,8.59,"No",53599
2012-08-21,24,211,10.57,"No",74885
2012-08-22,23,211,10.83,"No",75273
2012-08-23,44,237,7.61,"No",71139
2012-08-24,47,321,12.17,"No",82682
2012-08-25,58,430,9.17,"No",83619
2012-08-26,43,304,13.99,"No",69476
2012-08-27,19,204,8.81,"No",72818
2012-08-28,18,204,10.09,"No",69929
2012-08-29,35,172,10.27,"No",71877
2012-08-30,49,178,9.55,"No",65458
2012-08-31,51,271,8.68,"No",66024
2012-09-01,45,427,12.11,"No",82854
2012-09-02,39,369,10.25,"No",97531
2012-09-03,18,374,9.24,"No",82978
2012-09-04,36,146,7.64,"No",62677
2012-09-05,28,135,7.65,"No",48616
2012-09-06,46,181,6.49,"No",64733
2012-09-07,35,207,7.03,"No",74264
2012-09-08,26,278,6.4,"No",74461
2012-09-09,42,221,6.14,"No",71640
2012-09-10,44,505,7.74,"Yes",97294
2012-09-11,50,576,5.54,"Yes",115615
2012-09-12,74,560,8.07,"Yes",82196
2012-09-13,31,190,8.6,"No",72926
2012-09-14,32,210,7.87,"No",61692
2012-09-15,51,302,8.91,"No",70103
2012-09-16,31,220,6.67,"No",64510
2012-09-17,17,148,5.47,"No",66669
2012-09-18,19,133,7.85,"No",65025
2012-09-19,21,133,5.71,"No",61225
2012-09-20,51,184,8.9,"No",69783
2012-09-21,45,224,8.98,"No",64629
2012-09-22,37,355,6.35,"No",79905
2012-09-23,45,258,9.83,"No",58469
2012-09-24,23,142,9.17,"No",61265
2012-09-25,30,126,7.73,"No",74614
2012-09-26,34,142,11.11,"No",69775
2012-09-27,39,157,6.37,"No",67500
2012-09-28,43,217,9.32,"No",75433
2012-09-29,55,347,8.6,"No",86770
2012-09-30,38,216,10.22,"No",77541
2012-10-01,22,120,9.2,"No",52445
2012-10-02,33,146,6.65,"No",88131
2012-10-03,28,135,6.74,"No",67277
2012-10-04,39,181,11.04,"No",81744
2012-10-05,41,220,9.21,"No",85468
2012-10-06,136,1448,8.34,"Yes",208060
2012-10-07,130,938,9.32,"Yes",113170
2012-10-08,51,583,10.8,"Yes",105175
2012-10-09,24,119,8.02,"No",58771
2012-10-10,29,124,10.32,"No",58796
2012-10-11,40,174,7.55,"No",85021
2012-10-12,50,273,10.22,"No",73388
2012-10-13,48,371,10.32,"No",88712
2012-10-14,41,262,6.87,"No",75741
2012-10-15,31,133,10.8,"No",51602
2012-10-16,25,158,7.07,"No",61551
2012-10-17,25,143,6.07,"No",57316
2012-10-18,61,168,12.26,"No",70666
2012-10-19,75,236,14.05,"No",76391
2012-10-20,75,442,14.63,"No",84545
2012-10-21,41,270,12.34,"No",104420
2012-10-22,32,132,6.8,"No",73035
2012-10-23,24,161,8.84,"No",73809
2012-10-24,40,181,7.37,"No",73887
2012-10-25,45,171,6.25,"No",70738
2012-10-26,59,219,7.75,"No",76261
2012-10-27,52,268,10.45,"No",87596
2012-10-28,43,194,8.55,"No",71325
2012-10-29,30,121,9.8,"No",91751
2012-10-30,29,141,5.64,"No",79117
2012-10-31,32,175,6.23,"No",85740
2012-11-01,36,169,10.31,"No",79272
2012-11-02,55,261,5.46,"No",51177
2012-11-03,44,367,6.38,"No",104260
2012-11-04,39,274,9.72,"No",101081
2012-11-05,18,130,8.6,"No",78174
2012-11-06,23,130,9.58,"No",71337
2012-11-07,36,149,10.57,"No",79913
2012-11-08,43,173,6.53,"No",82291
2012-11-09,66,250,8.28,"No",82617
2012-11-10,157,1479,10.18,"Yes",173448
2012-11-11,190,1129,7.89,"Yes",141094
2012-11-12,68,993,9.11,"Yes",162427
2012-11-13,29,148,6.45,"No",94505
2012-11-14,43,157,7.95,"No",67444
2012-11-15,46,190,10.7,"No",73742
2012-11-16,85,280,14.53,"No",100493
2012-11-17,89,498,19.24,"No",142017
2012-11-18,79,365,14.42,"No",106408
2012-11-19,38,247,8.53,"No",80932
2012-11-20,33,255,14.24,"No",80284
2012-11-21,47,279,13.66,"No",101002
2012-11-22,32,406,14.64,"No",80042
2012-11-23,120,1862,15.32,"No",298630
2012-11-24,74,509,15.82,"No",101387
2012-11-25,51,381,16.87,"No",117553
2012-11-26,32,150,14.04,"No",91151
2012-11-27,23,141,10.28,"No",70434
2012-11-28,24,164,10.84,"No",115107
2012-11-29,38,164,10.03,"No",105957
2012-11-30,65,210,15.31,"No",105142
2012-12-01,63,458,10.62,"No",134072
2012-12-02,62,322,10.99,"No",124170
2012-12-03,30,159,14.26,"No",99255
2012-12-04,19,168,16.48,"No",97244
2012-12-05,28,205,15.27,"No",113868
2012-12-06,29,213,13.8,"No",96710
2012-12-07,54,273,12.79,"No",124599
2012-12-08,40,412,10.19,"No",119663
2012-12-09,54,435,17.02,"No",119595
2012-12-10,27,189,12.27,"No",114907
2012-12-11,27,212,12.56,"No",124434
2012-12-12,33,244,12.9,"No",104530
2012-12-13,47,235,10.81,"No",126595
2012-12-14,56,299,18.55,"No",97560
2012-12-15,47,601,18.21,"No",123533
2012-12-16,35,486,18.08,"No",128205
2012-12-17,32,349,17.52,"No",134018
2012-12-18,32,339,14.29,"No",98110
2012-12-19,37,439,18.88,"No",100354
2012-12-20,39,438,16.42,"No",124814
2012-12-21,69,529,18.12,"No",124510
2012-12-22,67,784,19.93,"No",126332
2012-12-23,49,783,17.36,"No",135585
2012-12-24,41,363,21.33,"No",103600
2012-12-25,0,0,0,"No",0
2012-12-26,40,757,18.68,"No",108910
2012-12-27,43,435,19.44,"No",96406
2012-12-28,39,443,12.12,"No",104696
2012-12-29,48,506,12.61,"No",123156
2012-12-30,48,483,17.19,"No",101759
2012-12-31,28,406,13.42,"No",103153
2013-01-01,31,234,17.79,"No",67313
2013-01-02,23,310,13.41,"No",89545
2013-01-03,34,225,20.01,"No",83721
2013-01-04,48,229,16.95,"No",104264
2013-01-05,53,327,17.04,"No",105933
2013-01-06,34,215,15.17,"No",81640
2013-01-07,21,165,17.52,"No",71331
2013-01-08,17,125,12.71,"No",75197
2013-01-09,26,161,14.89,"No",78595
