"Date","Num_Employees","Num_Customers","Pct_On_Sale","TouristEvent","Sales"
2012-07-01,12,89,10.56,"No",19532
2012-07-02,7,79,9.17,"No",25403
2012-07-03,7,97,9.49,"No",17711
2012-07-04,8,95,10.69,"No",23336
2012-07-05,8,81,10.39,"No",22879
2012-07-06,13,92,12.76,"No",20918
2012-07-07,13,137,8.93,"No",21308
2012-07-08,10,90,11.73,"No",22472
2012-07-09,7,66,9.87,"No",20388
2012-07-10,5,66,7.4,"No",18678
2012-07-11,8,70,11.66,"No",24364
2012-07-12,10,76,9.6,"No",23707
2012-07-13,12,79,8.11,"No",21728
2012-07-14,10,103,10.38,"No",22557
2012-07-15,11,78,7.51,"No",19341
2012-07-16,6,67,10.19,"No",22671
2012-07-17,5,70,8.11,"No",20870
2012-07-18,7,73,6.75,"No",22328
2012-07-19,9,81,9.52,"No",21355
2012-07-20,12,81,8.99,"No",23471
2012-07-21,11,114,7.24,"No",23647
2012-07-22,11,82,6.5,"No",23127
2012-07-23,9,69,8.53,"No",17733
2012-07-24,8,69,7.23,"No",21533
2012-07-25,9,76,6.61,"No",22028
2012-07-26,12,78,11.59,"No",14971
2012-07-27,13,88,8.38,"No",24626
2012-07-28,13,112,10.48,"No",29912
2012-07-29,10,79,10.42,"No",21111
2012-07-30,6,67,6.31,"No",24762
2012-07-31,7,64,8.39,"No",18873
2012-08-01,9,81,8.41,"No",17580
2012-08-02,9,82,10.33,"No",18984
2012-08-03,10,85,12.27,"No",22136
2012-08-04,9,114,8.79,"No",21602
2012-08-05,17,90,10.29,"No",24428
2012-08-06,6,63,11.48,"No",20836
2012-08-07,7,63,9.24,"No",20904
2012-08-08,6,76,10.71,"No",17010
2012-08-09,9,69,9.23,"No",22053
2012-08-10,11,93,14.62,"No",20532
2012-08-11,10,107,12.24,"No",20392
2012-08-12,13,91,8.9,"No",21727
2012-08-13,6,67,10.86,"No",21963
2012-08-14,9,63,8.96,"No",21853
2012-08-15,9,67,9.52,"No",19088
2012-08-16,16,93,8.76,"No",29291
2012-08-17,9,88,9.8,"No",23106
2012-08-18,9,105,7.33,"No",21944
2012-08-19,12,80,10.05,"No",25229
2012-08-20,11,52,9.29,"No",18984
2012-08-21,7,62,11.44,"No",18873
2012-08-22,8,62,11.72,"No",18011
2012-08-23,14,69,8.24,"No",21435
2012-08-24,13,94,13.17,"No",21515
2012-08-25,14,126,9.93,"No",22516
2012-08-26,12,89,15.14,"No",18622
2012-08-27,7,60,9.53,"No",22426
2012-08-28,6,60,10.92,"No",21801
2012-08-29,9,51,11.11,"No",18248
2012-08-30,13,52,10.34,"No",20676
2012-08-31,15,80,9.39,"No",21933
2012-09-01,14,126,13.1,"No",23343
2012-09-02,13,109,11.09,"No",23365
2012-09-03,5,111,10,"No",22647
2012-09-04,11,43,8.27,"No",19172
2012-09-05,9,40,8.27,"No",16057
2012-09-06,15,54,7.03,"No",20877
2012-09-07,9,61,7.61,"No",22423
2012-09-08,8,83,6.92,"No",22728
2012-09-09,16,66,6.65,"No",21703
2012-09-10,14,150,8.37,"Yes",25937
2012-09-11,15,172,6,"Yes",41318
2012-09-12,21,167,8.73,"Yes",32062
2012-09-13,11,57,9.31,"No",18136
2012-09-14,11,63,8.52,"No",21411
2012-09-15,12,91,9.64,"No",23280
2012-09-16,12,66,7.22,"No",23433
2012-09-17,5,44,5.92,"No",22817
2012-09-18,6,40,8.49,"No",22020
2012-09-19,8,40,6.17,"No",20609
2012-09-20,16,55,9.63,"No",21634
2012-09-21,11,68,9.71,"No",21052
2012-09-22,14,107,6.87,"No",19864
2012-09-23,18,78,10.64,"No",18728
2012-09-24,7,43,9.93,"No",20058
2012-09-25,10,38,8.36,"No",18209
2012-09-26,11,43,12.02,"No",17724
2012-09-27,16,48,6.89,"No",21739
2012-09-28,16,66,10.08,"No",19610
2012-09-29,16,105,9.3,"No",25882
2012-09-30,9,66,11.06,"No",24303
2012-10-01,5,37,9.96,"No",18729
2012-10-02,9,44,7.19,"No",22639
2012-10-03,7,41,7.29,"No",20121
2012-10-04,10,55,11.95,"No",20193
2012-10-05,14,67,9.97,"No",27049
2012-10-06,46,443,9.03,"Yes",49367
2012-10-07,41,287,10.08,"Yes",38587
2012-10-08,17,178,11.69,"Yes",26393
2012-10-09,10,37,8.68,"No",20959
2012-10-10,8,38,11.16,"No",18132
2012-10-11,11,53,8.17,"No",19649
2012-10-12,15,84,11.06,"No",23299
2012-10-13,12,114,11.17,"No",32821
2012-10-14,14,81,7.43,"No",18949
2012-10-15,9,41,11.68,"No",14021
2012-10-16,9,49,7.65,"No",20496
2012-10-17,8,44,6.57,"No",16147
2012-10-18,16,52,13.26,"No",22139
2012-10-19,23,73,15.2,"No",23193
2012-10-20,17,137,15.83,"No",25768
2012-10-21,18,84,13.35,"No",27035
2012-10-22,8,41,7.36,"No",22795
2012-10-23,8,50,9.57,"No",20847
2012-10-24,13,56,7.98,"No",22449
2012-10-25,13,53,6.76,"No",27938
2012-10-26,21,68,8.39,"No",24977
2012-10-27,16,84,11.3,"No",32001
2012-10-28,17,61,9.26,"No",25932
2012-10-29,8,38,10.6,"No",21144
2012-10-30,9,44,6.1,"No",25462
2012-10-31,11,55,6.74,"No",25042
2012-11-01,11,53,11.15,"No",20905
2012-11-02,17,82,5.91,"No",17758
2012-11-03,13,115,6.9,"No",32850
2012-11-04,14,86,10.51,"No",25815
2012-11-05,6,41,9.3,"No",27991
2012-11-06,9,41,10.36,"No",24281
2012-11-07,11,47,11.44,"No",22465
2012-11-08,15,55,7.07,"No",25771
2012-11-09,19,79,8.96,"No",32106
2012-11-10,47,468,11.01,"Yes",53732
2012-11-11,47,357,8.54,"Yes",46619
2012-11-12,19,315,9.86,"Yes",49588
2012-11-13,10,47,6.98,"No",24748
2012-11-14,12,50,8.61,"No",22983
2012-11-15,14,60,11.58,"No",23143
2012-11-16,22,89,15.72,"No",28003
2012-11-17,28,159,20.83,"No",42168
2012-11-18,21,116,15.61,"No",32571
2012-11-19,15,78,9.23,"No",29324
2012-11-20,14,82,15.41,"No",32554
2012-11-21,13,89,14.78,"No",29887
2012-11-22,7,130,15.85,"No",27355
2012-11-23,35,596,16.58,"No",83973
2012-11-24,21,163,17.12,"No",36725
2012-11-25,22,122,18.26,"No",36341
2012-11-26,9,48,15.2,"No",35272
2012-11-27,10,45,11.13,"No",26540
2012-11-28,9,53,11.73,"No",30778
2012-11-29,17,53,10.86,"No",33402
2012-11-30,17,68,16.57,"No",40241
2012-12-01,16,148,11.49,"No",39802
2012-12-02,20,104,11.89,"No",35586
2012-12-03,9,51,15.43,"No",32195
2012-12-04,6,54,17.83,"No",29759
2012-12-05,9,66,16.52,"No",33779
2012-12-06,12,69,14.93,"No",37177
2012-12-07,14,89,13.84,"No",33137
2012-12-08,15,134,11.02,"No",37466
