"store","date","forecast"
"baltimore","2014-06-08",96
"baltimore","2014-06-09",69
"baltimore","2014-06-10",87
"baltimore","2014-06-11",81
"baltimore","2014-06-12",82
"baltimore","2014-06-13",92
"baltimore","2014-06-14",121
"lancaster","2014-06-08",112
"lancaster","2014-06-09",102
"lancaster","2014-06-10",119
"lancaster","2014-06-11",105
"lancaster","2014-06-12",82
"lancaster","2014-06-13",90
"lancaster","2014-06-14",99
"philadelphia","2014-06-08",247
"philadelphia","2014-06-09",188
"philadelphia","2014-06-10",155
"philadelphia","2014-06-11",162
"philadelphia","2014-06-12",165
"philadelphia","2014-06-13",202
"philadelphia","2014-06-14",258
"richmond","2014-06-08",55
"richmond","2014-06-09",44
"richmond","2014-06-10",45
"richmond","2014-06-11",50
"richmond","2014-06-12",45
"richmond","2014-06-13",58
"richmond","2014-06-14",79
