"store","date","forecast"
"baltimore","2014-06-15",104
"baltimore","2014-06-16",89
"baltimore","2014-06-17",87
"baltimore","2014-06-18",91
"baltimore","2014-06-19",98
"baltimore","2014-06-20",93
"baltimore","2014-06-21",109
"lancaster","2014-06-15",126
"lancaster","2014-06-16",97
"lancaster","2014-06-17",99
"lancaster","2014-06-18",103
"lancaster","2014-06-19",103
"lancaster","2014-06-20",107
"lancaster","2014-06-21",132
"philadelphia","2014-06-15",243
"philadelphia","2014-06-16",196
"philadelphia","2014-06-17",181
"philadelphia","2014-06-18",174
"philadelphia","2014-06-19",179
"philadelphia","2014-06-20",174
"philadelphia","2014-06-21",272
"richmond","2014-06-15",68
"richmond","2014-06-16",59
"richmond","2014-06-17",61
"richmond","2014-06-18",61
"richmond","2014-06-19",60
"richmond","2014-06-20",62
"richmond","2014-06-21",52
