"store","date","forecast"
"baltimore","2014-06-08",100
"baltimore","2014-06-09",60
"baltimore","2014-06-10",55
"baltimore","2014-06-11",63
"baltimore","2014-06-12",74
"baltimore","2014-06-13",82
"baltimore","2014-06-14",132
"lancaster","2014-06-08",113
"lancaster","2014-06-09",76
"lancaster","2014-06-10",102
"lancaster","2014-06-11",59
"lancaster","2014-06-12",76
"lancaster","2014-06-13",109
"lancaster","2014-06-14",162
"philadelphia","2014-06-08",236
"philadelphia","2014-06-09",143
"philadelphia","2014-06-10",150
"philadelphia","2014-06-11",165
"philadelphia","2014-06-12",171
"philadelphia","2014-06-13",203
"philadelphia","2014-06-14",297
"richmond","2014-06-08",59
"richmond","2014-06-09",34
"richmond","2014-06-10",37
"richmond","2014-06-11",40
"richmond","2014-06-12",51
"richmond","2014-06-13",52
"richmond","2014-06-14",92
